Event;Timestamp;Framecount;SessionID;Email;EventType;MotorSpaceWidth;MotorSpaceHeight;MotorSpaceMultiplier;MotorSpaceCenterPositionX;MotorSpaceCenterPositionY;MotorSpaceCenterPositionZ;MotorSpaceGainX;MotorSpaceGainY;MotorSpaceName;TimeSinceLastEvent;PupilTime;UnityToPupilTimeOffset;GameId;RightControllerMain;MirrorEffect;EyePatch;ControllerOffset;PrismOffset;DualTask;HideWall;HideWallAmount;GeometricMirror;ControllerSmoothed;ControllerAimAssistState;GameState;GameDuration;GameSpeed;GameTimeSpent;GameTimeLeft;ParticipantId;TestId;WallRowCount;WallColumnCount;WallSizeX;WallSizeY;WallSizeZ;WallBoundsXMin;WallBoundsYMin;WallBoundsZMin;WallBoundsXMax;WallBoundsYMax;WallBoundsZMax;WallCenterX;WallCenterY;WallCenterZ;WallCurveRatioX;WallCurveRatioY;PlayedPattern;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MoleSize;MoleLifeTime;MoleId;MoleSpawnOrder;MoleIndexX;MoleIndexY;MoleNormalizedIndexX;MoleNormalizedIndexY;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerPosTravelX;RightControllerPosTravelY;RightControllerPosTravelZ;RightControllerRotTravelX;RightControllerRotTravelY;RightControllerRotTravelZ;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HeadCameraRotTravelX;HeadCameraRotTravelY;HeadCameraRotTravelZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerPosTravelX;LeftControllerPosTravelY;LeftControllerPosTravelZ;LeftControllerRotTravelX;LeftControllerRotTravelY;LeftControllerRotTravelZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerLaserPosTravelX;RightControllerLaserPosTravelY;RightControllerLaserPosTravelZ;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;MoleActivatedDuration;LastShotControllerRawPointingDirectionX;LastShotControllerRawPointingDirectionY;LastShotControllerRawPointingDirectionZ;MoleSurfaceHitLocationX;MoleSurfaceHitLocationY;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;ClosestActiveMoleDistanceX;ClosestActiveMoleDistanceY
Mole Hit;2021-11-10 14:53:08.9038;27384;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183675.624952;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;134.577;495.423;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-2.2304;1.2003;5.7139;-2.2304;-0.6497;5.1639;0.3584;5.0000;0204;0075;2;4;0.1111;0.3333;-0.0969;1.3183;0.1935;346.4575;306.4092;25.0142;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0276;1.6991;-0.0492;357.2560;352.6590;5.1541;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2478;1.2586;5.5145;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0204;2;4;-2.2304;1.2003;5.7139;-2.2304;-0.6497;5.1639;1.2738;-0.7824225;0.2341669;0.577045;-0.0173;0.0583;NULL;NULL;NULL;NULL;NULL
Fake Mole Expired;2021-11-10 14:53:08.9068;27384;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183675.628432;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;134.577;495.423;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);0.3484;0.0132;5.9606;0.3484;-1.8368;5.4106;0.4179;5.0000;0601;0075;6;1;0.5556;0.0000;-0.0969;1.3183;0.1935;346.4575;306.4092;25.0142;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0276;1.6991;-0.0492;357.2560;352.6590;5.1541;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2478;1.2586;5.5145;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0204;2;4;-2.2304;1.2003;5.7139;-2.2304;-0.6497;5.1639;5.0000;-0.7824225;0.2341669;0.577045;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Mole Expired;2021-11-10 14:53:08.9108;27384;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183675.631516;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;134.577;495.423;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-2.2304;1.2003;5.7139;-2.2304;-0.6497;5.1639;0.3584;5.0000;0204;0075;2;4;0.1111;0.3333;-0.0969;1.3183;0.1935;346.4575;306.4092;25.0142;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0276;1.6991;-0.0492;357.2560;352.6590;5.1541;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2478;1.2586;5.5145;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0204;2;4;-2.2304;1.2003;5.7139;-2.2304;-0.6497;5.1639;5.0000;-0.7824225;0.2341669;0.577045;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Mole Spawned;2021-11-10 14:53:08.9128;27384;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183675.634365;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;134.577;495.423;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);1.6667;1.6320;6.1408;1.6667;-0.2180;5.5908;0.3685;5.0000;0805;0076;8;5;0.7778;0.4444;-0.0969;1.3183;0.1935;346.4575;306.4092;25.0142;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0276;1.6991;-0.0492;357.2560;352.6590;5.1541;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2478;1.2586;5.5145;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0204;2;4;-2.2304;1.2003;5.7139;-2.2304;-0.6497;5.1639;NULL;-0.7824225;0.2341669;0.577045;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Fake Mole Spawned;2021-11-10 14:53:08.9157;27384;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183675.637032;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;134.577;495.423;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);0.3484;0.0132;5.9606;0.3484;-1.8368;5.4106;0.4179;5.0000;0601;0076;6;1;0.5556;0.0000;-0.0969;1.3183;0.1935;346.4575;306.4092;25.0142;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0276;1.6991;-0.0492;357.2560;352.6590;5.1541;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2478;1.2586;5.5145;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0805;8;5;1.6667;1.6320;6.1408;1.6667;-0.2180;5.5908;NULL;-0.7824225;0.2341669;0.577045;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Pointer Shoot;2021-11-10 14:53:10.0964;27424;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;PointerEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.1960;183676.81801;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;135.781;494.219;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.4769611;0.3834584;0.7908652;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Mole Hit;2021-11-10 14:53:10.0993;27424;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183676.819993;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;135.781;494.219;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);1.6667;1.6320;6.1408;1.6667;-0.2180;5.5908;0.3550;5.0000;0805;0076;8;5;0.7778;0.4444;0.4463;1.3621;0.2659;337.4519;31.0937;13.5459;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0100;1.6977;-0.0438;357.9062;7.0776;5.1190;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.6393;1.6341;5.9547;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0805;8;5;1.6667;1.6320;6.1408;1.6667;-0.2180;5.5908;1.2039;0.4769611;0.3834584;0.7908652;-0.0274;0.0021;NULL;NULL;NULL;NULL;NULL
Fake Mole Expired;2021-11-10 14:53:10.1023;27424;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183676.823663;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;135.781;494.219;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);0.3484;0.0132;5.9606;0.3484;-1.8368;5.4106;0.4179;5.0000;0601;0076;6;1;0.5556;0.0000;0.4463;1.3621;0.2659;337.4519;31.0937;13.5459;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0100;1.6977;-0.0438;357.9062;7.0776;5.1190;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.6393;1.6341;5.9547;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0805;8;5;1.6667;1.6320;6.1408;1.6667;-0.2180;5.5908;5.0000;0.4769611;0.3834584;0.7908652;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Mole Expired;2021-11-10 14:53:10.1063;27424;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183676.826514;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;135.781;494.219;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);1.6667;1.6320;6.1408;1.6667;-0.2180;5.5908;0.3550;5.0000;0805;0076;8;5;0.7778;0.4444;0.4463;1.3621;0.2659;337.4519;31.0937;13.5459;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0100;1.6977;-0.0438;357.9062;7.0776;5.1190;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.6393;1.6341;5.9547;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0805;8;5;1.6667;1.6320;6.1408;1.6667;-0.2180;5.5908;5.0000;0.4769611;0.3834584;0.7908652;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Mole Spawned;2021-11-10 14:53:10.1089;27424;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183676.830029;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;135.781;494.219;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-1.6667;2.0680;6.1408;-1.6667;0.2180;5.5908;0.3685;5.0000;0306;0077;3;6;0.2222;0.5556;0.4463;1.3621;0.2659;337.4519;31.0937;13.5459;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0100;1.6977;-0.0438;357.9062;7.0776;5.1190;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.6393;1.6341;5.9547;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0805;8;5;1.6667;1.6320;6.1408;1.6667;-0.2180;5.5908;NULL;0.4769611;0.3834584;0.7908652;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Fake Mole Spawned;2021-11-10 14:53:10.1109;27424;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183676.832632;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;135.781;494.219;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-1.6667;0.3829;5.7969;-1.6667;-1.4671;5.2469;0.4330;5.0000;0302;0077;3;2;0.2222;0.1111;0.4463;1.3621;0.2659;337.4519;31.0937;13.5459;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0100;1.6977;-0.0438;357.9062;7.0776;5.1190;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.6393;1.6341;5.9547;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0306;3;6;-1.6667;2.0680;6.1408;-1.6667;0.2180;5.5908;NULL;0.4769611;0.3834584;0.7908652;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Pointer Shoot;2021-11-10 14:53:11.2853;27463;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;PointerEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.1896;183678.007476;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;136.9717;493.0283;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.5314858;0.4178061;0.7368588;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Mole Hit;2021-11-10 14:53:11.2883;27463;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183678.008985;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;136.9717;493.0283;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-1.6667;2.0680;6.1408;-1.6667;0.2180;5.5908;0.3685;5.0000;0306;0077;3;6;0.2222;0.5556;0.0060;1.4010;0.2701;335.3038;324.1976;27.9497;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0224;1.6985;-0.0448;357.3164;353.3702;4.6039;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.6577;1.9838;5.9511;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0306;3;6;-1.6667;2.0680;6.1408;-1.6667;0.2180;5.5908;1.1907;-0.5314858;0.4178061;0.7368588;0.0090;-0.0842;NULL;NULL;NULL;NULL;NULL
Fake Mole Expired;2021-11-10 14:53:11.2912;27463;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183678.012897;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;136.9717;493.0283;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-1.6667;0.3829;5.7969;-1.6667;-1.4671;5.2469;0.4330;5.0000;0302;0077;3;2;0.2222;0.1111;0.0060;1.4010;0.2701;335.3038;324.1976;27.9497;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0224;1.6985;-0.0448;357.3164;353.3702;4.6039;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.6577;1.9838;5.9511;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0306;3;6;-1.6667;2.0680;6.1408;-1.6667;0.2180;5.5908;5.0000;-0.5314858;0.4178061;0.7368588;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Mole Expired;2021-11-10 14:53:11.2942;27463;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183678.015523;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;136.9717;493.0283;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-1.6667;2.0680;6.1408;-1.6667;0.2180;5.5908;0.3685;5.0000;0306;0077;3;6;0.2222;0.5556;0.0060;1.4010;0.2701;335.3038;324.1976;27.9497;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0224;1.6985;-0.0448;357.3164;353.3702;4.6039;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.6577;1.9838;5.9511;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0306;3;6;-1.6667;2.0680;6.1408;-1.6667;0.2180;5.5908;5.0000;-0.5314858;0.4178061;0.7368588;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Mole Spawned;2021-11-10 14:53:11.2972;27463;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183678.018155;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;136.9717;493.0283;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-2.6967;2.4997;5.2478;-2.6967;0.6497;4.6978;0.3037;5.0000;0107;0078;1;7;0.0000;0.6667;0.0060;1.4010;0.2701;335.3038;324.1976;27.9497;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0224;1.6985;-0.0448;357.3164;353.3702;4.6039;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.6577;1.9838;5.9511;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0306;3;6;-1.6667;2.0680;6.1408;-1.6667;0.2180;5.5908;NULL;-0.5314858;0.4178061;0.7368588;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Fake Mole Spawned;2021-11-10 14:53:11.3002;27463;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183678.021304;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;136.9717;493.0283;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-1.0301;0.0132;5.8302;-1.0301;-1.8368;5.2802;0.4429;5.0000;0401;0078;4;1;0.3333;0.0000;0.0060;1.4010;0.2701;335.3038;324.1976;27.9497;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0224;1.6985;-0.0448;357.3164;353.3702;4.6039;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.6577;1.9838;5.9511;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0107;1;7;-2.6967;2.4997;5.2478;-2.6967;0.6497;4.6978;NULL;-0.5314858;0.4178061;0.7368588;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Pointer Shoot;2021-11-10 14:53:12.5902;27507;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;PointerEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.3044;183679.312051;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;138.2767;491.7233;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.815493;0.5098896;0.2738315;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Mole Hit;2021-11-10 14:53:12.5931;27507;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183679.314327;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;138.2767;491.7233;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-2.6967;2.4997;5.2478;-2.6967;0.6497;4.6978;0.3006;5.0000;0107;0078;1;7;0.0000;0.6667;-0.1705;1.4706;0.1509;329.3435;288.5613;42.2147;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0219;1.7010;-0.0506;354.7968;351.5555;4.9878;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.5998;2.4241;5.1768;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0107;1;7;-2.6967;2.4997;5.2478;-2.6967;0.6497;4.6978;1.3050;-0.815493;0.5098896;0.2738315;0.0978;-0.0757;NULL;NULL;NULL;NULL;NULL
Fake Mole Expired;2021-11-10 14:53:12.5971;27507;2edc98103cc5e0d95f705dd1254493c8;steffen@98243646.dk;MoleEvent;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;183679.318083;183272.231020855;0020211110145054;False;False;None;0;0;False;None;-1;False;True;None;Playing;630;Normal;138.2767;491.7233;0;0;10;10;4;2.5;3;-3.281686;-0.441346;4.36512;3.281686;4.141346;6.685258;0;1.85;5.525189;0.6;0.4;MED7 R (R);-1.0301;0.0132;5.8302;-1.0301;-1.8368;5.2802;0.4429;5.0000;0401;0078;4;1;0.3333;0.0000;-0.1705;1.4706;0.1509;329.3435;288.5613;42.2147;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-0.0219;1.7010;-0.0506;354.7968;351.5555;4.9878;0.0000;0.0000;0.0000;-0.6696;0.4665;-0.2290;0.0000;177.4505;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.5998;2.4241;5.1768;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0107;1;7;-2.6967;2.4997;5.2478;-2.6967;0.6497;4.6978;5.0000;-0.815493;0.5098896;0.2738315;NULL;NULL;NULL;NULL;NULL;NULL;NULL
